key	category	source	built-in-simplified	runtime-target
archetype.Jester.description	Archetypes	A whimsical performer who empowers allies with lively songs while confounding enemies with music and card tricks.	异想天开的表演者，以欢快的歌声强化盟友，并用音乐与纸牌戏法迷惑敌人。	异想天开的表演者，以欢快的歌声强化盟友，并用音乐与纸牌戏法迷惑敌人。
archetype.Jester.name	Archetypes	Jester		弄臣
archetype.Knight.description	Archetypes	A balanced melee fighter who uses spear and shield to protect allies while felling foes.	攻守兼备的近战斗士，以长枪和盾牌保护盟友并击倒敌人。	攻守兼备的近战斗士，以长枪和盾牌保护盟友并击倒敌人。
archetype.Knight.name	Archetypes	Knight		骑士
archetype.Mage.description	Archetypes	A student of elemental magic who is capable of casting destructive spells from a distance.	元素魔法的研习者，能够从远处施放毁灭性法术。	元素魔法的研习者，能够从远处施放毁灭性法术。
archetype.Mage.name	Archetypes	Mage		法师
archetype.Merchant.name	Archetypes	Merchant		商人
archetype.Monk.description	Archetypes	A spiritual striker who assails enemies with physical combos while healing allies.	修习灵性之道的近战斗士，以物理连招攻击敌人，同时治疗盟友。	修习灵性之道的近战斗士，以物理连招攻击敌人，同时治疗盟友。
archetype.Monk.name	Archetypes	Monk		武僧
archetype.Necromancer.description	Archetypes	A dark spellcaster who commands masses of the dead while twisting the life force of living beings.	黑暗施法者，统御成群的亡者，并扭曲生灵的生命力。	黑暗施法者，统御成群的亡者，并扭曲生灵的生命力。
archetype.Necromancer.name	Archetypes	Necromancer		死灵法师
archetype.Paladin.description	Archetypes	A stalwart holy protector who brandishes holy power to both smite foes and protect allies.	坚定的神圣守护者，运用圣力惩击敌人并保护盟友。	坚定的神圣守护者，运用圣力惩击敌人并保护盟友。
archetype.Paladin.name	Archetypes	Paladin		圣骑士
archetype.Priest.description	Archetypes	A devoted saint who brings protection and healing to allies and punishes dark creatures with sacred power.	虔诚的圣者，为盟友带来防护与治疗，并以神圣力量惩戒黑暗生物。	虔诚的圣者，为盟友带来防护与治疗，并以神圣力量惩戒黑暗生物。
archetype.Priest.name	Archetypes	Priest		牧师
archetype.Ranger.description	Archetypes	A master tracker who picks off enemies with critical shots while commanding traps and beast companions in battle.	追踪大师，以致命的暴击射击逐个击破敌人，并在战斗中布置陷阱、指挥野兽伙伴。	追踪大师，以致命的暴击射击逐个击破敌人，并在战斗中布置陷阱、指挥野兽伙伴。
archetype.Ranger.name	Archetypes	Ranger		游侠
archetype.Revenant.description	Archetypes	A bloodthirsty warrior who sacrifices their own life for power while delivering dark, high-risk attacks.	嗜血的战士，以牺牲自身生命换取力量，施展黑暗而高风险的攻击。	嗜血的战士，以牺牲自身生命换取力量，施展黑暗而高风险的攻击。
archetype.Revenant.name	Archetypes	Revenant		魂武者
archetype.Rogue.description	Archetypes	A nimble fighter who strikes from the shadows with poison and blade.	身手敏捷的斗士，以毒药与利刃从暗影中发动袭击。	身手敏捷的斗士，以毒药与利刃从暗影中发动袭击。
archetype.Rogue.name	Archetypes	Rogue		盗贼
archetype.Scout.description	Archetypes	A swift marksman who excels at striking enemies from afar with archery.	迅捷的神射手，擅长以弓术从远处打击敌人。	迅捷的神射手，擅长以弓术从远处打击敌人。
archetype.Scout.name	Archetypes	Scout		斥候
archetype.Shinobi.description	Archetypes	An elusive trickster who uses clones and elemental arts to misdirect and overwhelm enemies.	难以捉摸的诡术者，利用分身与元素秘术误导并压制敌人。	难以捉摸的诡术者，利用分身与元素秘术误导并压制敌人。
archetype.Shinobi.name	Archetypes	Shinobi		忍者
archetype.Stylist.name	Archetypes	Stylist		造型师
archetype.Summoner.description	Archetypes	A mystical conjurer who fights alongside summoned companions, adapting to fit every scenario.	神秘的召唤术士，与召唤出的伙伴并肩作战，能够适应各种局势。	神秘的召唤术士，与召唤出的伙伴并肩作战，能够适应各种局势。
archetype.Summoner.name	Archetypes	Summoner		召唤师
archetype.Warlock.description	Archetypes	A cursed spellcaster who afflicts enemies with hexes and drains their life.	受诅咒的施法者，以邪咒折磨敌人并汲取其生命。	受诅咒的施法者，以邪咒折磨敌人并汲取其生命。
archetype.Warlock.name	Archetypes	Warlock		术士
archetype.Warrior.description	Archetypes	A powerful combatant who wields heavy axes to deal high damage against multiple foes.	强悍的斗士，挥舞重斧，对多个敌人造成高额伤害。	强悍的斗士，挥舞重斧，对多个敌人造成高额伤害。
archetype.Warrior.name	Archetypes	Warrior		战士
archetype.Weaver.description	Archetypes	A scholar of forgotten techniques who stitches together magic from many paths.	研习失传技艺的学者，将不同流派的魔法缝合在一起。	研习失传技艺的学者，将不同流派的魔法缝合在一起。
archetype.Weaver.name	Archetypes	Weaver		织法师
archetype.Wizard.description	Archetypes	An arcane master who channels fire, ice, lightning, and earth into devastating spells.	奥术大师，将火焰、寒冰、雷电与大地之力汇聚成毁灭性法术。	奥术大师，将火焰、寒冰、雷电与大地之力汇聚成毁灭性法术。
archetype.Wizard.name	Archetypes	Wizard		巫师
artifact.Acolyte.description_1	Artifacts	When fear rose higher than prayer, Vitae taught that faith need not thunder to endure.	当恐惧高于祈祷时，维塔教导信仰无需震撼	当恐惧压过祈祷，维泰教诲世人：信仰无须雷鸣般高亢，亦能长存。
artifact.Acolyte.description_2	Artifacts	A quiet light, carried faithfully, was enough to steady the wounded and guide the lost.	一盏静谧的光芒，被忠实地高举，足以安抚伤者并指引前路	一束由虔诚守护的静谧之光，便足以安定伤者、引领迷途者。
artifact.Acolyte.description_3	Artifacts	Thus the devout were taught to keep their vows in patience, that mercy might outlast terror and hope remain when strength faltered.	因此虔诚的人被教导要耐心地遵守誓言，使慈悲能够	于是，虔信者学会耐心守诺，使慈悲比恐惧更长久，并在力量衰竭时仍存希望。
artifact.Acolyte.description_4	Artifacts	For holiness is not proven by spectacle, but by the grace that remains when all else is shaken. - Codex Vitae	因为圣洁不是通过盛大表演来证明的，而是通过留下的恩典来证明的	因为圣洁不由壮观之举证明，而见于万物动摇之后依然留存的恩典。——维泰法典
artifact.Acolyte.name	Artifacts	Holy Vow		神圣誓言
artifact.Atk.description_1	Artifacts	Before the roads were named, Umbra marked the first ground taken by strength.	在道路被命名之前，暗影标记了力量征服的第一块土地。	在道路尚未得名之前，翁布拉已标下力量夺取的第一片土地。
artifact.Atk.description_2	Artifacts	The hand that split the briar did not ask the earth for welcome, but carved its right to remain.	分开棘丛的手没有向大地乞求欢迎，而是雕刻了	劈开荆棘之手不向大地乞求接纳，而以开拓刻下留存于此的权利。
artifact.Atk.description_3	Artifacts	Thus the first warborn were taught to seize, that fire, fear, and memory might answer to one will.	因此，最初的战生者被教导去夺取那火焰、恐惧和记忆	于是，最初的战裔学会攫取，使烈火、恐惧与记忆皆听命于同一意志。
artifact.Atk.description_4	Artifacts	For sacred is the mark that survives resistance, and stronger still the one written in blood. - Codex Umbra	因为神圣的印记能够存活抵抗，而更强大的则是	因为经受抵抗仍不磨灭的印记堪称神圣，而以鲜血写下者更为强大。——翁布拉法典
artifact.Atk.name	Artifacts	Warglyph		战纹
artifact.Auto.description_1	Artifacts	When battle favored the hesitant no longer, Umbra taught that force must move faster than fear can think.	当战斗不再眷顾犹豫者时，翁布拉教导说力量必须	当战斗不再眷顾迟疑者，翁布拉教诲世人：力量必须快过恐惧的念头。
artifact.Auto.description_2	Artifacts	A chain of strikes, once begun, was not to be interrupted by pity, recoil, or restraint, but carried through until resistance forgot how to stand.	一旦开始的连击链，不应被怜悯、反冲所打断，	连击一旦开始，便不可因怜悯、反冲或克制而中断，直至抵抗者忘却如何站立。
artifact.Auto.description_3	Artifacts	Thus the relentless were taught to become momentum itself, that each blow would call the next and violence would answer before doubt returned.	于是无情之人被教导成为动能本身，使得每一击	于是，不屈不挠者学会化身攻势，让每一击引出下一击，在疑虑重生前便以暴力回应。
artifact.Auto.description_4	Artifacts	For the surest victory is the one that leaves no space between impact and the will behind it. - Codex Umbra	因为最确定的胜利是在冲击与之间没有间隙的胜利	因为最稳操胜券的胜利，不容冲击与驱使它的意志之间留下半分间隙。——翁布拉法典
artifact.Auto.name	Artifacts	Blitzcore		闪击核心
artifact.Bastion.description_1	Artifacts	When storms, spells, and mirrored wrath battered the faithful, Vitae shaped within them a center that would not yield.	当暴风雨、法术和镜像之怒摧残信徒时，Vitae塑造了	当风暴、法术与反噬之怒摧折信徒，维泰在他们心中塑成了永不屈服的核心。
artifact.Bastion.description_2	Artifacts	Strength was not given to stand above others, but to remain when others had nowhere else to stand.	力量不是为了凌驾于他人之上，而是为了在他人离去时坚守阵地	力量并非为凌驾他人而赐，而是为了在他人无处立足时依然坚守。
artifact.Bastion.description_3	Artifacts	Thus the steadfast were taught to become a wall no terror could scatter, that fear, force, and sorcery alike might spend themselves in vain.	就这样，坚定者被教会成为任何恐惧都无法击散的墙垣，	于是，坚毅者学会化作恐惧无法冲散的壁垒，任恐慌、蛮力与法术徒然耗尽。
artifact.Bastion.description_4	Artifacts	For blessed is the heart that cannot be thrown, shaken, or turned against itself. - Codex Vitae	因为无法被摧毁、动摇或反制的心灵是有福的	因为不被击退、不受动摇、亦不反噬自身的心灵，必蒙祝福。——维泰法典
artifact.Bastion.name	Artifacts	Bastion		堡垒
artifact.Berserker_1.description_1	Artifacts	When the Berserker's oath broke beneath rage, Umbra did not calm the blood, but sharpened it.	当狂战士的誓言在怒火下破裂时，暗影并未平息鲜血，	当狂战士的誓言在暴怒中破碎，翁布拉没有平息其热血，反而将它磨砺成锋。
artifact.Berserker_1.description_2	Artifacts	Every wound became a drumbeat, every swing a demand that the body spend itself before doubt could speak.	每一道伤口都成为鼓声，每一次挥舞都是身体消耗自己的呼唤	每一道伤口都化作鼓点，每一次挥击都催促身体在疑虑开口前燃尽自身。
artifact.Berserker_1.description_3	Artifacts	Thus the wrathful were taught to chase the fleeing life in axe, claw, and cyclone, until battle answered only hunger.	如此，愤怒者被教导用斧、爪和	于是，盛怒者学会以战斧、利爪与旋风追猎逃逸的生命，直至战场只回应饥渴。
artifact.Berserker_1.description_4	Artifacts	For mercy is the silence after fury has taken all it was owed. - Codex Umbra	因为仁慈是愤怒夺走了它所应得的一切之后的沉寂。- Codex Umbra	因为狂怒讨尽一切血债后的寂静，便是仁慈。——翁布拉法典
artifact.Berserker_1.name	Artifacts	Bloodfury		血怒
artifact.Cast.description_1	Artifacts	In the first calm after ruin, Vitae taught the wise to weave instead of wound.	在废墟之后的第一次平静中，维塔教导智者编织而非伤害。	在毁灭后的初次宁静中，维泰教导智者编织，而非伤害。
artifact.Cast.description_2	Artifacts	Power was not given to unravel the world, but to bind its broken measures into harmony.	力量不是为了解开世界，而是为了束缚其破碎的秩序	力量并非为拆解世界而赐，而是为了将破碎的秩序重新编织成和谐。
artifact.Cast.description_3	Artifacts	Thus the patient were taught to shape the unseen, that thought might become shelter, light, and song.	因此患者被教导塑造无形之物，使思想可以化为	于是，耐心者学会塑造无形之物，使意念化作庇护、光明与歌声。
artifact.Cast.description_4	Artifacts	For magic is purest when it leaves the world more whole than it found it. - Codex Vitae	因为魔法最纯净的时刻，就是当它让世界比它发现时更完整的时候。	因为魔法最纯粹之时，是它让世界比施展之前更加完整。——维泰法典
artifact.Cast.name	Artifacts	Spellweaver		法术织者
artifact.Corporeal.description_1	Artifacts	Before oath and kingdom, before ruin and remembrance, all forces mingled in one body.	在誓言和王国之前，在毁灭和记忆之前，所有力量交融在一起	在誓约与王国之前，在毁灭与记忆之前，一切力量曾交融于同一具躯体。
artifact.Corporeal.description_2	Artifacts	Holy, shadow, poison, and death were not enemies then, but truths awaiting a stronger hand.	圣洁、阴影、毒素和死亡当时并非敌对，而是等待中的真理	彼时，神圣、暗影、剧毒与死亡并非仇敌，而是等待强者驾驭的真理。
artifact.Corporeal.description_3	Artifacts	Thus the knowing were taught to wield contradiction, that grace and corruption might answer the same design.	因此智者们被教导要掌握矛盾，即优雅与腐败	于是，洞悉者学会驾驭矛盾，使恩典与腐化皆服从同一谋划。
artifact.Corporeal.description_4	Artifacts	For the world is not preserved by purity alone, but by the will to bind what others fear to touch. - Codex Umbra	因为世界不仅由纯净所保护，更由结合之意志所保护	因为守护世界不能只靠纯净，更要有将众人畏于触碰之物收束一体的意志。——翁布拉法典
artifact.Corporeal.name	Artifacts	Corporeal		血肉之躯
artifact.Cost.description_1	Artifacts	When chaos pressed against the last bastions, Vitae taught that mastery was mercy measured without waste.	当混沌逼近最后的堡垒时，维泰教导精通是	当混沌逼近最后的堡垒，维泰教诲世人：精准而毫无浪费的掌控，亦是一种慈悲。
artifact.Cost.description_2	Artifacts	The spell cast cleanly, swiftly, and without excess preserved both strength and purpose, turning panic into discipline.	咒语干净利落、迅速而不多余地施放，保留了两种力量	干净、迅捷而毫无冗余的施法，既保存力量，也守住初衷，将慌乱化为自律。
artifact.Cost.description_3	Artifacts	Thus the devoted were taught to let power flow without pause or burden, that the wounded be sustained and the line not break.	因此虔诚者被教导让力量无间断、无负担地流动，以便	于是，奉献者学会让力量无阻无滞地流淌，使伤者得以支撑，阵线不致崩溃。
artifact.Cost.description_4	Artifacts	For control is holiest not when it restrains the gift, but when it guides it flawlessly where it is needed most. - Codex Vitae	因为控制最神圣的时刻，不是在它限制天赋时，而是在它引导天赋时	因为掌控最神圣之处，不在于束缚天赋，而在于将它分毫不差地引向最需要之地。——维泰法典
artifact.Cost.name	Artifacts	Evercast		永恒施法
artifact.Crit.description_1	Artifacts	When wrath rose from the deep places of the world, Umbra taught that flame was truest when married to the blade.	当愤怒从世界深处升起时，Umbra 教导了那火焰	当怒火从世界深处升腾，翁布拉教诲世人：烈焰与刀锋相合之时最为真切。
artifact.Crit.description_2	Artifacts	Fire was not given to warm or purify, but to leave behind a lesson even ash would remember.	火焰并非为了温暖或净化而生，而是为了在灰烬中留下教训	火焰并非为温暖或净化而赐，而是为了留下连灰烬都不会遗忘的教训。
artifact.Crit.description_3	Artifacts	Thus the fierce were taught to strike with burning will, that each wound outlive the moment that made it and each enemy pass into scorched echo.	如此，凶猛之人被教导以炽热的意志发动攻击，使得每一道伤口	于是，勇猛者学会以燃烧的意志出击，使每道伤口延续得比造成它的瞬间更久，让每个敌人化作焦灼的回响。
artifact.Crit.description_4	Artifacts	For power is most honest when it cuts, consumes, and leaves no doubt who carried the fire. - Codex Umbra	因为力量最诚实的时刻，就是它切割、吞噬之时，无人能否认谁	因为力量最坦诚之时，便是它斩裂、吞噬，并让人再无疑问是谁携火而来。——翁布拉法典
artifact.Crit.name	Artifacts	Furybrand		怒火烙印
artifact.Def.description_1	Artifacts	When lesser armor cracked beneath the world's cruelty, Umbra taught the strong to clothe themselves not in protection alone, but in permanence.	当劣质盔甲在世界的残酷下破裂时，暗影教导了强者们	当脆弱的护甲在世界的残酷下崩裂，翁布拉教导强者披覆的不能只有防护，更应是恒久不灭。
artifact.Def.description_2	Artifacts	Steel that lives does not merely endure the strike; it remembers it, returns it, and grows more terrible for having borne it.	活着的钢铁不仅能承受打击；它会记住并将其返还	活着的钢铁不只承受打击；它会铭记、奉还，并因经受一切而愈发可怖。
artifact.Def.description_3	Artifacts	Thus the immovable were taught to stand as fortresses unto themselves, that every assault would break first upon their silence and feed the will within.	因此不动者被教导作为堡垒自身而站立，	于是，不动者学会让自身成为堡垒，使每次攻势都先在他们的沉默前粉碎，再化作内心意志的养分。
artifact.Def.description_4	Artifacts	For the highest strength is not to escape the blow, but to make the blow regret its making. - Codex Umbra	因为最高的力量不是躲避打击，而是发动打击	因为至高的力量不在于躲开一击，而在于让这一击后悔降临。——翁布拉法典
artifact.Def.name	Artifacts	Titanplate		泰坦战甲
artifact.Eternis.description_1	Artifacts	Before the world was divided into rival truths, Vitae remembered a greater wholeness in which every element and living force belonged to one weave.	在世界分裂成对立真理之前,维塔记得一个更伟大的	在世界被割裂成彼此对立的真理之前，维泰记得一种更宏大的完整：一切元素与生命之力都属于同一幅织锦。
artifact.Eternis.description_2	Artifacts	Healing, swiftness, strength, and blessing were not separate gifts, but threads drawn together in harmony so that none would exalt itself above the rest.	治愈、迅捷、力量和祝福不是分离的恩赐，而是线	治疗、迅捷、力量与祝福并非彼此独立的馈赠，而是和谐交织的丝线，谁也不凌驾于其余之上。
artifact.Eternis.description_3	Artifacts	Thus the wise were taught to seek fullness instead of excess, that power in all its forms might serve life without tearing it apart.	如此,智者被教导寻求充盈而非过度,权力	于是，智者学会追求圆满而非过度，使各种形态的力量都能为生命效力，而不将其撕裂。
artifact.Eternis.description_4	Artifacts	For eternity is not the triumph of one force, but the concord of all that was meant to endure together. - Codex Vitae	因为永恒不是单一力量的胜利，而是万物的和谐	因为永恒并非一种力量的凯旋，而是所有注定共存之物的和鸣。——维泰法典
artifact.Eternis.name	Artifacts	Eternis		埃特尼斯
artifact.Flee.description_1	Artifacts	When the paths of the world grew tangled, Umbra taught the hidden to pass where no hand could close.	当世界的道路缠绕在一起时，暗影教会隐藏者通行	当世间道路纠缠不清，翁布拉教导潜行者穿过任何手掌都无法合拢之处。
artifact.Flee.description_2	Artifacts	Swiftness was not given for mercy, but so the unseen might remain untouched while all others stumbled.	敏捷不是为了怜悯而赐予的，而是让看不见的东西保持无损	迅捷并非出于慈悲而赐，而是让无形者在众人踉跄之时仍不受触碰。
artifact.Flee.description_3	Artifacts	Thus the elusive were taught to slip between sight and consequence, that danger might grasp only emptiness and pursuit grow weary.	因此，那些难以捉摸的人被教导在视线和后果之间滑动，	于是，飘忽者学会从目光与后果之间溜走，让危险只能抓住虚无，让追兵疲惫不堪。
artifact.Flee.description_4	Artifacts	For blessed is the soul that moves like shadow, felt in passing and never held. - Codex Umbra	祝福灵魂如影而动，在瞬间感受，永不	因为如暗影般移动的灵魂必蒙祝福：掠过时可被感知，却永远无法被握住。——翁布拉法典
artifact.Flee.name	Artifacts	Shadebound		暗影缚契
artifact.Gunslinger_1.description_1	Artifacts	When distance turned courage into guesswork, Vitae steadied the Gunslinger's hand.	当距离将勇气化为猜测时，Vitae稳定了枪手的武器	当距离让勇气沦为猜测，维泰稳住了枪手的手。
artifact.Gunslinger_1.description_2	Artifacts	The shot was not loosed for pride, but for the single breath where judgment, aim, and purpose became one.	这一枪并非因骄傲而发，而是在那唯一的瞬间，判断，	子弹并非为骄傲而发，而是为了那一息之间，判断、瞄准与使命合而为一。
artifact.Gunslinger_1.description_3	Artifacts	Thus the patient were taught to strike cleanly, from powder flash to far horizon, wasting neither fear nor force.	患者因此被教导干净地进行打击,从火药闪光到远处	于是，耐心者学会干净利落地出击，从火药闪光直抵遥远天际，既不浪费恐惧，也不虚耗力量。
artifact.Gunslinger_1.description_4	Artifacts	For blessed is the bullet that ends danger before chaos reaches the innocent. - Codex Vitae	祝福的子弹在混乱到达无辜者之前结束危险。	因为能在混乱波及无辜者之前终结危险的子弹，必蒙祝福。——维泰法典
artifact.Gunslinger_1.name	Artifacts	Deadeye		神射手
artifact.Healing.description_1	Artifacts	Where the ground was scarred and ash remembered war, Vitae laid down bloom.	在土地伤痕累累、灰烬铭记战争的地方，Vitae 播撒了绽放。	在大地伤痕累累、灰烬仍铭记战争之处，维泰播下繁花。
artifact.Healing.description_2	Artifacts	Not to deny the wound, but to cover it in living mercy until pain forgot its name.	不是否认伤口，而是用活的怜悯覆盖它，直到痛苦被遗忘	并非为了否认伤口，而是以鲜活的慈悲将其覆盖，直至痛苦忘却自己的名字。
artifact.Healing.description_3	Artifacts	Thus the faithful were taught to heal beyond themselves, that even ruins might flower.	因此信徒们被教导要超越自身治愈，即使废墟	于是，信徒学会将治愈赐予自身之外，使废墟亦能开花。
artifact.Healing.description_4	Artifacts	For life is holiest when it returns where suffering once believed itself eternal. - Codex Vitae	因为生命在回到痛苦曾经相信自己的地方时最为神圣	因为生命最神圣之时，便是它重返那片曾被苦难自认永恒的土地。——维泰法典
artifact.Healing.name	Artifacts	Lifebloom		生命绽放
artifact.Hexbrand.description_1	Artifacts	In the first calm after ruin, Umbra taught the wise to mark instead of mourn.	在废墟之后的第一阵宁静中，翁布拉教导智者用标记代替哀悼。	在毁灭后的初次宁静中，翁布拉教导智者留下烙印，而非沉湎哀悼。
artifact.Hexbrand.description_2	Artifacts	Power was not given to soothe the wound, but to ensure that every wound remembered.	力量不是为了安抚伤口，而是为了确保每一道伤口都被铭记。	力量并非为抚平伤口而赐，而是为了让每一道伤口都永远铭记。
artifact.Hexbrand.description_3	Artifacts	Thus the cunning were taught to brand the unseen, that thought might become poison, fear, and fate.	因此狡猾者被教导在无形之物上打下烙印，使思想得以转化为	于是，狡黠者学会烙印无形之物，使意念化作剧毒、恐惧与命运。
artifact.Hexbrand.description_4	Artifacts	For magic is truest when it teaches the world that nothing struck is ever unchanged again. - Codex Umbra	因为魔法最真实的时刻，是当它教会世界没有任何被击中的东西永远	因为魔法最真实之时，便是它让世界明白：凡被击中者，再也无法恢复如初。——翁布拉法典
artifact.Hexbrand.name	Artifacts	Hexbrand		咒术烙印
artifact.Hit.description_1	Artifacts	When confusion clouded the field, Vitae taught the faithful to let sight become certainty.	当困惑笼罩战场时，Vitae教导信徒放任视界	当迷乱笼罩战场，维泰教导信徒让目光化为确信。
artifact.Hit.description_2	Artifacts	Aim was not given for pride, but so that no needed strike be wasted and no danger mistaken for another.	准度并非因骄傲而获得，而是为了没有必要的一击被浪费，也没有	瞄准并非为骄傲而赐，而是为了不浪费任何必要的一击，也不将危险错认成他物。
artifact.Hit.description_3	Artifacts	Thus the keen were taught to see truly at any range, that precision might spare effort, preserve strength, and bring order to the chaos of battle.	因此敏锐的人被教导在任何距离都能看清真实，使得精准度得以	于是，敏锐者学会在任何距离洞见真实，以精准节省气力、保存力量，并为混乱的战场带来秩序。
artifact.Hit.description_4	Artifacts	For blessed is the eye that does not wander, and holier still the will that follows it without doubt. - Codex Vitae	祝福那不游移的眼睛，更圣洁的是那份意志，	因为不曾游移的目光必蒙祝福，而毫不犹疑地追随它的意志更为神圣。——维泰法典
artifact.Hit.name	Artifacts	Hawkeye		鹰眼
artifact.Hp.description_1	Artifacts	When the wounded bent beneath the weight of dusk, Vitae gave not command, but breath.	当伤者在暮色的重压下弯腰时，维泰没有下达命令，	当伤者被暮色的重压折弯，维泰赐下的不是命令，而是一息生机。
artifact.Hp.description_2	Artifacts	What life remained was not to be hoarded, nor spent in hatred, but carried onward together.	残存的生命不应被囤积，也不应被浪费在仇恨中，而是被承载	残存的生命不应被独占，也不应耗费于仇恨，而应由众人共同延续。
artifact.Hp.description_3	Artifacts	Thus the strong were taught to endure, that the weak might rise beside them.	强者被教导要坚持，使弱者能够与他们一起站起来。	于是，强者学会忍耐，使弱者得以在他们身旁重新站起。
artifact.Hp.description_4	Artifacts	For sacred is the breath that is shared, and holier still the hand that preserves it. - Codex Vitae	共享之息是神圣的，而保护它的手更加神圣	因为与人共享的气息堪称神圣，而守护这气息的手更为圣洁。——维泰法典
artifact.Hp.name	Artifacts	Vitalis		维塔利斯
artifact.Immune.description_1	Artifacts	When poison, shadow, and silence learned to stalk the living, Umbra answered not with cleansing, but with refusal.	当毒、影和寂静学会了猎杀生者，Umbra出现了	当剧毒、暗影与沉默学会追猎生者，翁布拉不以净化回应，而以拒绝相抗。
artifact.Immune.description_2	Artifacts	The marked were not taught to heal the wound, but to deny it a place to settle, until venom, darkness, and fear passed over them empty.	被标记者不是被教导愈合伤口，而是拒绝让伤口有立足之地，	受印记者所学的不是治愈伤口，而是拒绝伤痛落脚，直至毒素、黑暗与恐惧徒然从他们身上掠过。
artifact.Immune.description_3	Artifacts	Thus the chosen were taught to walk untouched where others faltered, that no affliction might claim what had been sealed against loss.	这样被选中的人被教导在他人踌躇的地方无碰触地行走，即	于是，受选者学会在众人失足之地安然前行，使任何苦难都无法夺走受封印守护之物。
artifact.Immune.description_4	Artifacts	For the strongest ward is not the light that shines outward, but the void that permits nothing in. - Codex Umbra	因为最强的守护不是向外闪耀的光,而是虚无	因为最强的防护并非向外照耀的光，而是不容任何事物进入的虚空。——翁布拉法典
artifact.Immune.name	Artifacts	Nullmark		虚无印记
artifact.Knight.description_1	Artifacts	Let the vow be spoken where all may hear, for truth does not fear witness.	让誓言在众人能听到之处被诵出，因为真理不惧见证。	让誓言在众人皆可听见之处宣告，因为真理从不畏惧见证。
artifact.Knight.description_2	Artifacts	Steel is made righteous not by sharpness, but by the promise that governs its use.	钢铁的正义不在于锋利，而在于约束它的诺言	使钢铁归于正义的并非锋利，而是约束其用途的承诺。
artifact.Knight.description_3	Artifacts	Thus the steadfast were taught to strike openly, that skill and duty remain one.	于是坚定者被教导直言不讳地发动进攻，使技能与责任长存	于是，坚定者学会堂堂正正地出击，使技艺与职责始终合一。
artifact.Knight.description_4	Artifacts	For an oath kept beneath the sun is worth more than victory won without a name. - Codex Vitae	因为太阳下守护的誓言，比没有获得的胜利更有价值	因为阳光下恪守的誓言，胜过无名换来的胜利。——维泰法典
artifact.Knight.name	Artifacts	Honored Oath		荣誉誓约
artifact.Leech.description_1	Artifacts	When the wounded bent beneath the weight of dusk, Umbra gathered what the living spilled.	当伤患们在暮色的重压下弯腰时，暗影收集了	当伤者被暮色的重压折弯，翁布拉收集生者流失的一切。
artifact.Leech.description_2	Artifacts	What flesh forgot, blood remembered; what the soul loosed, will made useful again.	血肉遗忘之事，血液铭记；灵魂放逐之物，意志化为有用	血液铭记肉身遗忘之事；意志则让灵魂释出的事物重获用途。
