category	identity	source	target	compact_policy
Item	Bottle	Bottle	瓶子	english-on-hold
Item	Boxy Robot	Boxy Robot Card	方盒机器人卡片	english-on-hold
Item	Branch	Branch	树枝	english-on-hold
Item	Branch Broken	Branch Broken	断枝	english-on-hold
Item	Branch Broken	Broken Branch	断枝	english-on-hold
Item	Branch Dead	Branch Dead	腐烂的树枝	english-on-hold
Item	Branch Dead	Decayed Branch	腐烂的树枝	english-on-hold
Item	Breadfruit	Breadfruit	面包果	english-on-hold
Item	Brick Red	Brick	砖	english-on-hold
Item	Brick Red	Brick Red	砖	english-on-hold
Item	Broken Navigation	Broken Navigation	破损导航器	english-on-hold
Item	Bud	Venom Bud Card	毒芽卡片	english-on-hold
Item	Bumble	Bumblebee Card	大黄蜂卡片	english-on-hold
Item	Bunny	Bunny Card	兔子卡片	english-on-hold
Item	Burrow	Digger Card	掘地者卡片	english-on-hold
Item	Butterfly Fairy	Fairy Card	仙灵卡片	english-on-hold
Item	Butterfly Hue	Sprite Card	精灵卡片	english-on-hold
Item	Butterfly Pixie	Pixie Card	小精灵卡片	english-on-hold
Item	Cacti	Cacti Card	仙人掌卡片	english-on-hold
Item	Cactus	Cactus Card	仙人掌卡片	english-on-hold
Item	Cactus Boss	Cactus King Card	仙人掌王卡片	english-on-hold
Item	Cactus Pulp	Cactus Pulp	仙人掌果肉	english-on-hold
Item	Camphor	Camphor	樟木	english-on-hold
Item	Can Empty	Can Empty	空罐	english-on-hold
Item	Can Empty	Empty Can	空罐	english-on-hold
Item	Candy Cane	Candy Cane	拐杖糖	english-on-hold
Item	Canned Bread	Canned Bread	罐头面包	english-on-hold
Item	Canned Crow Bamboo	Canned Crow Bamboo	乌竹罐头	english-on-hold
Item	Carbonate	Carbonate	碳酸盐	english-on-hold
Item	Caribou Meat	Caribou Meat	驯鹿肉	english-on-hold
Item	Carp	Carp	鲤鱼	english-on-hold
Item	Cat Bolt	Raiju Card	雷兽卡片	english-on-hold
Item	Cat Lightning	Voltpaw Card	伏特爪卡片	english-on-hold
Item	Cat Meow	Sparkit Card	斯帕克特卡片	english-on-hold
Item	Catfish	Catfish	鲶鱼	english-on-hold
Item	Cd	Cd	光盘	english-on-hold
Item	Cd	Compact Disc	光盘	english-on-hold
Item	Chalcopyrite	Chalcopyrite	黄铜矿	english-on-hold
Item	Chalcopyrite Piece	Chalcopyrite Piece	黄铜矿片	english-on-hold
Item	Charcoal	Charcoal	木炭	english-on-hold
Item	Chick	Chick Card	小鸡卡片	english-on-hold
Item	Cinnamon	Cinnamon	肉桂	english-on-hold
Item	Citrus	Citrus	柑橘	english-on-hold
Item	Clay	Clay	黏土	english-on-hold
Item	Clownfish	Clownfish	小丑鱼	english-on-hold
Item	Coal	Coal	煤炭	english-on-hold
Item	Coal Hard	Coal Hard	硬煤	english-on-hold
Item	Coal Hard	Hard Coal	硬煤	english-on-hold
Item	Cobra Venom	Cobra Card	眼镜蛇卡片	english-on-hold
Item	Cocoa	Cocoa	可可	english-on-hold
Item	Coconut Oil	Coconut Oil	椰子油	english-on-hold
Item	Coelacanth	Coelacanth	腔棘鱼	english-on-hold
Item	Coffeebean	Coffee Bean	咖啡豆	english-on-hold
Item	Coffeebean	Coffeebean	咖啡豆	english-on-hold
Item	Copper	Copper	铜	english-on-hold
Item	Coral Stone	Coral Stone	硬珊瑚	english-on-hold
Item	Coral Stone	Hard Coral	硬珊瑚	english-on-hold
Item	Coral Stone Piece	Coral Stone Piece	珊瑚石片	english-on-hold
Item	Corn	Corn	玉米	english-on-hold
Item	Cornerstone	Cornerstone	基石	english-on-hold
Item	Cosmetic Converter	Cosmetic Converter	装扮转换器	english-on-hold
Item	Cotton	Cotton	棉花	english-on-hold
Item	Creeper	Crawler Card	爬行者卡片	english-on-hold
Item	Crucian	Crucian	鲫鱼	english-on-hold
Item	Crystal Guardian Amethyst	Amethyst Guardian Card	紫晶守护者卡片	english-on-hold
Item	Crystal Guardian Aqua	Aquamarine Guardian Card	海蓝宝守护者卡片	english-on-hold
Item	Crystal Guardian Emerald	Emerald Guardian Card	翡翠守护者卡片	english-on-hold
Item	Curry	Curry	咖喱	english-on-hold
Item	Cyclops	Cyclops Card	独眼巨人卡片	english-on-hold
Item	Cyclops Bat	Eyeclops Bat Card	独眼蝙蝠卡片	english-on-hold
Item	Cyclops Bat Mage	Eyeclops Mage Card	独眼法师卡片	english-on-hold
Item	Cyclops Bat Wizard	Eyeclops Arcanist Card	独眼奥术师卡片	english-on-hold
Item	Cyclops Giant	Cyclops Titan Card	独眼巨人泰坦卡片	english-on-hold
Item	Cyclops Minion	Cyclopling Card	独眼幼体卡片	english-on-hold
Item	Daggertooth	Daggertooth	匕齿	english-on-hold
Item	Dandlelion Baby	Dandelion Baby	蒲公英宝贝	english-on-hold
Item	Dandlelion Baby	Dandlelion Baby	蒲公英宝贝	english-on-hold
Item	Dark Bark	Dark Bark	深色树皮	english-on-hold
Item	Dark Bark Piece	Dark Bark Piece	深色树皮片	english-on-hold
Item	Dark Sleeper	Dark Sleeper	暗眠鱼	english-on-hold
Item	Dark Wizard Black	Onyx Warlock Card	玛瑙术士卡片	english-on-hold
Item	Dark Wizard Purple	Violet Warlock Card	紫罗兰术士卡片	english-on-hold
Item	Dark Wizard Red	Scarlet Warlock Card	猩红术士卡片	english-on-hold
Item	Data Crystal	Data Crystal	数据水晶	english-on-hold
Item	Dawn Stone	Dawn Stone	黎明石	english-on-hold
Item	Death	Wight Card	尸妖卡片	english-on-hold
Item	Death Mage	Abyss Archon Card	深渊执政官卡片	english-on-hold
Item	Delivery Robot	Delivery Robot Card	送货机器人卡片	english-on-hold
Item	Devil Bat	Fire Bat Card	火蝙蝠卡片	english-on-hold
Item	Devil Hades	Inferno Bat Card	炼狱蝙蝠卡片	english-on-hold
Item	Devil Hell	Hell Bat Card	地狱蝙蝠卡片	english-on-hold
Item	Diamond	Diamond	钻石	english-on-hold
Item	Diatomite	Diatomite	硅藻土	english-on-hold
Item	Diatomite Piece	Diatomite Piece	硅藻土片	english-on-hold
Item	Direwolf	Direwolf Card	恐狼卡片	english-on-hold
Item	Dog Bark	Hound Card	猎犬卡片	english-on-hold
Item	Dog Bowwow	Hellhound Card	地狱犬卡片	english-on-hold
Item	Dog Pup	Pup Card	小狗卡片	english-on-hold
Item	Dragon Blizzard	Frost Wyvern Card	冰霜飞龙卡片	english-on-hold
Item	Dragon Bot	Dragon Bot Card	机械幼龙卡片	english-on-hold
Item	Dragon Darkness	Shadow Wyvern Card	暗影飞龙卡片	english-on-hold
Item	Dragon Dusk	Dusk Drake Card	黄昏幼龙卡片	english-on-hold
Item	Dragon Fire	Flame Drake Card	火焰幼龙卡片	english-on-hold
Item	Dragon Ice	Rime Drake Card	霜冻幼龙卡片	english-on-hold
Item	Dragon Inferno	Inferno Wyvern Card	地狱飞龙卡片	english-on-hold
Item	Dragon King Blue	Frost Wyrm Card	冰霜龙卡片	english-on-hold
Item	Dragon King Green	Fire Wyrm Card	火龙卡片	english-on-hold
Item	Dragon King Orange	Earth Wyrm Card	地龙卡片	english-on-hold
Item	Dragon King Purple	Lightning Wyrm Card	闪电龙卡片	english-on-hold
Item	Dragon Nightfall	Night Drake Card	暗夜幼龙卡片	english-on-hold
Item	Dragon Predator Robot	Robot Dragon Card	机械龙卡片	english-on-hold
Item	Dragon Robot	Dragon Robot Card	巨龙机器人卡片	english-on-hold
Item	Dragon Spark	Spark Drake Card	火花幼龙卡片	english-on-hold
Item	Dragon Water	Aqua Drake Card	碧水幼龙卡片	english-on-hold
Item	Dragonfly Arrow	Darter Card	箭蜓卡片	english-on-hold
Item	Dragonfly Darner	Skimmer Card	掠水蜓卡片	english-on-hold
Item	Dragonfly Swift	Hawker Card	巡猎蜓卡片	english-on-hold
Item	Earthworm	Grave Worm Card	墓穴蠕虫卡片	english-on-hold
Item	Ebony	Ebony	乌木	english-on-hold
Item	Egg	Egg Card	蛋卡片	english-on-hold
Item	Egglet	Egglet Card	蛋蛋卡片	english-on-hold
Item	Elder Wisp Blue	Elder Frost Card	冰霜长老卡片	english-on-hold
Item	Elder Wisp Purple	Elder Lightning Card	闪电长老卡片	english-on-hold
Item	Elder Wisp Yellow	Elder Fire Card	火焰长老卡片	english-on-hold
Item	Emerald	Emerald	翡翠	english-on-hold
Item	Endless Gum	Endless Gum	无尽口香糖	english-on-hold
Item	Essence Chaos	Essence of Chaos	混沌精华	english-on-hold
Item	Essence Destruction	Essence of Destruction	毁灭精华	english-on-hold
Item	Essence Flow	Essence of Flow	流转精华	english-on-hold
Item	Essence Growth	Essence of Growth	成长精华	english-on-hold
Item	Essence Rebirth	Essence of Rebirth	重生精华	english-on-hold
Item	Eyeball Bat Blue	Azure Gazer Card	蔚蓝凝视者卡片	english-on-hold
Item	Eyeball Bat Green	Jade Gazer Card	玉凝视者卡片	english-on-hold
Item	Eyeball Bat Red	Ruby Gazer Card	红宝石凝视者卡片	english-on-hold
Item	Eyeball Creep Blue	Azure Eyestalk Card	蔚蓝眼柄卡片	english-on-hold
Item	Eyeball Creep Green	Jade Eyestalk Card	玉眼柄卡片	english-on-hold
Item	Eyeball Creep Red	Ruby Eyestalk Card	红宝石眼柄卡片	english-on-hold
Item	Eyeball Mage	Beholder Card	眼魔卡片	english-on-hold
Item	Eyeball Mage Blue	Azure Beholder Card	蔚蓝眼魔卡片	english-on-hold
Item	Eyeball Mage Green	Jade Beholder Card	翡翠眼魔卡片	english-on-hold
Item	Eyeball Mage Red	Ruby Beholder Card	红宝石眼魔卡片	english-on-hold
Item	Eyeball Monster	Kraken Card	克拉肯卡片	english-on-hold
Item	False Acasia	False Acacia	假金合欢	english-on-hold
Item	False Acasia	False Acasia	假金合欢	english-on-hold
Item	False Acasia Piece	False Acacia Piece	假金合欢片	english-on-hold
Item	False Acasia Piece	False Acasia Piece	假金合欢片	english-on-hold
Item	Feather	Feather	羽毛	english-on-hold
Item	Fire	Ember Card	余烬卡片	english-on-hold
Item	Fire Mage	Fire Mage Card	火法师卡片	english-on-hold
Item	Firewood	Firewood	木柴	english-on-hold
Item	FIsh Blue	Bluefin Card	蓝鳍金枪鱼卡片	english-on-hold
Item	Fish Man Blue	Aqua Merling Card	水蓝鱼人卡片	english-on-hold
Item	Fish Man Pink	Roseate Merling Card	玫红鱼人卡片	english-on-hold
Item	Fish Man Yellow	Canary Merling Card	金黄鱼人卡片	english-on-hold
Item	Fish Merman Blue	Sapphire Merman Card	蓝宝石人鱼卡片	english-on-hold
Item	Fish Merman Pink	Coral Merman Card	珊瑚人鱼卡片	english-on-hold
Item	Fish Merman Yellow	Topaz Merman Card	黄玉人鱼卡片	english-on-hold
Item	Fish Oil	Fish Oil	鱼油	english-on-hold
Item	Fish Pink	Rosetail Card	玫瑰尾卡片	english-on-hold
Item	Fish Yellow	Goldtail Card	金尾卡片	english-on-hold
Item	Fishbone	Fishbone	鱼骨	english-on-hold
Item	Flame	Blaze Card	烈焰卡片	english-on-hold
Item	Flatfish	Flatfish	比目鱼	english-on-hold
Item	Flax	Flax	亚麻	english-on-hold
Item	Fledgling	Fledgling Card	雏鸟卡片	english-on-hold
Item	Flora	Flora Card	弗洛拉卡片	english-on-hold
Item	Flower Pot Monster	Mandrake Card	曼德拉草卡片	english-on-hold
Item	Flying Fish	Flying Fish	飞鱼	english-on-hold
Item	Foxtail	Cat's-Tail	狗尾草	english-on-hold
Item	Foxtail	Foxtail	狗尾草	english-on-hold
Item	Fungi	Fungi Card	真菌卡片	english-on-hold
Item	Fur	Fur	毛皮	english-on-hold
Item	Galaxy Robot	Galaxy Robot Card	银河机器人卡片	english-on-hold
Item	GameMaster	Game Master	游戏大师	english-on-hold
Item	Garra Rufa	Garra Rufa	博士鱼	english-on-hold
Item	Ghost	Ghost Card	鬼卡片	english-on-hold
Item	Ginseng Juice	Ginseng Juice	人参汁	english-on-hold
Item	Gloom	Spectre Card	幽灵卡片	english-on-hold
Item	Glow Wisp Blue	Frost Glimmer Card	冰霜微光卡片	english-on-hold
Item	Glow Wisp Purple	Lightning Glimmer Card	闪电微光卡片	english-on-hold
Item	Glow Wisp Yellow	Fire Glimmer Card	火光卡片	english-on-hold
Item	Goblin Giant	Orc Card	兽人卡片	english-on-hold
Item	Goblin Giant Devil	Orc Soldier Card	兽人士兵卡片	english-on-hold
Item	Goblin Giant Gold	Orc King Card	兽人王卡片	english-on-hold
Item	Goblin Giant Mage	Orc Mage Card	兽人法师卡片	english-on-hold
Item	Goblin Minion	Goblin Card	哥布林卡片	english-on-hold
Item	Goblin Trooper	Goblin Grunt Card	哥布林步兵卡片	english-on-hold
Item	Goblin Trooper Assassin	Goblin Assassin Card	哥布林刺客卡片	english-on-hold
Item	Goblin Trooper Mage	Goblin Mage Card	哥布林法师卡片	english-on-hold
Item	Goblin Trooper Soldier	Goblin Soldier Card	哥布林士兵卡片	english-on-hold
Item	Goblin Warblade	Orc Reaver Card	兽人掠夺者卡片	english-on-hold
Item	Goblin Warchief	Orc Warchief Card	兽人大酋长卡片	english-on-hold
Item	Goblin Warcrusher	Orc Crusher Card	兽人粉碎者卡片	english-on-hold
Item	Goblin Warlock	Orc Warlock Card	兽人术士卡片	english-on-hold
Item	Goby	Goby	虾虎鱼	english-on-hold
Item	Gold Ore	Gold Ore	金矿石	english-on-hold
Item	Gold Ore Piece	Gold Ore Piece	金矿石块	english-on-hold
Item	Goldfish	Goldfish	金鱼	english-on-hold
Item	Goldribbon Soapfish	Goldribbon Soapfish	金带皂鱼	english-on-hold
Item	Goldtooth	Goldtooth	金牙	english-on-hold
Item	Golem Earth	Stone Golem Card	岩石魔像卡片	english-on-hold
Item	Golem Fire	Magma Golem Card	岩浆魔像卡片	english-on-hold
Item	Golem Ice	Rime Golem Card	霜冻魔像卡片	english-on-hold
Item	Granite	Granite	花岗岩	english-on-hold
Item	Granite Piece	Granite Piece	花岗岩碎片	english-on-hold
Item	Grape	Grape	葡萄	english-on-hold
Item	Gravion Chunk	Gravion Chunk	格拉维恩块	english-on-hold
Item	Gravion Crystal	Gravion Crystal	格拉维恩晶体	english-on-hold
Item	Gravion Shard	Gravion Shard	格拉维恩碎片	english-on-hold
Item	Great White Shark	Great White Shark	大白鲨	english-on-hold
Item	Greeenstone	Greeenstone	绿石	english-on-hold
Item	Greeenstone	Greenstone	绿石	english-on-hold
Item	Grid Robot	Grid Robot Card	网格机器人卡片	english-on-hold
Item	Grim Reaper	Reaper Card	收割者卡片	english-on-hold
Item	Gripper Robot	Gripper Robot Card	夹爪机器人卡片	english-on-hold
Item	Guild Charter	Guild Charter	公会章程	english-on-hold
Item	Guppy	Guppy	孔雀鱼	english-on-hold
Item	Halite	Halite	石盐	english-on-hold
Item	Hammerhead	Hammerhead	锤头鲨	english-on-hold
Item	Hare	Vorpal Hare Card	斩首野兔卡片	english-on-hold
Item	Harisenbon	Harisenbon	刺鲀	english-on-hold
Item	Haunt	Banshee Card	女妖卡片	english-on-hold
Item	Hermit King	Hermit King Card	隐士王卡片	english-on-hold
Item	Hermit Robot Blue	Scout Robot Card	侦察机器人卡片	english-on-hold
Item	Hermit Robot Red	Sentry Robot Card	哨兵机器人卡片	english-on-hold
Item	Herring	Herring	鲱鱼	english-on-hold
Item	Hibiscus	Hibiscus	芙蓉	english-on-hold
Item	Hop	Hop	啤酒花	english-on-hold
Item	Horror	Horror Card	恐魔卡片	english-on-hold
Item	Horseshoe	Horseshoe	马蹄铁	english-on-hold
Item	Housefly Icky	Gadfly Card	虻卡片	english-on-hold
Item	Housefly Junk	Bluebottle Card	蓝瓶蝇卡片	english-on-hold
Item	Housefly Nom	Blowfly Card	丽蝇卡片	english-on-hold
Item	Humpback Whale	Humpback Whale	座头鲸	english-on-hold
Item	Ice	Ice Card	冰卡片	english-on-hold
Item	Ice Bear A	Ice Bear Card	冰熊卡片	english-on-hold
Item	Ice Bear B	Festive Bear Card	节日熊卡片	english-on-hold
Item	Ice Cube A	Ice Golem Card	寒冰魔像卡片	english-on-hold
Item	Ice Cube B	Shadow Golem Card	暗影魔像卡片	english-on-hold
Item	Ice Mage	Ice Mage Card	冰法师卡片	english-on-hold
Item	Ice Starflake A	Starflake Card	星片卡片	english-on-hold
Item	Ice Starflake B	Vanilla Ice Card	香草冰卡片	english-on-hold
Item	Ice Starflake C	Shadow Ice Card	暗影冰卡片	english-on-hold
Item	Icicle	Icicle Card	冰柱卡片	english-on-hold
Item	Imp Demon	Imp Card	小鬼卡片	english-on-hold
Item	Imp Devil	Demon Lord Card	魔王卡片	english-on-hold
Item	Imp Mischief	Gremlin Card	小恶魔卡片	english-on-hold
Item	Indigo	Indigo	靛青	english-on-hold
Item	Ingot Gold	Gold Ingot	金锭	english-on-hold
Item	Ingot Gold	Ingot Gold	金锭	english-on-hold
Item	Ingot Iron	Ingot Iron	铁锭	english-on-hold
Item	Ingot Iron	Iron Ingot	铁锭	english-on-hold
Item	Ingot Steel	Ingot Steel	钢锭	english-on-hold
Item	Ingot Steel	Steel Ingot	钢锭	english-on-hold
Item	Inlaid Scabbard	Inlaid Scabbard	镶嵌刀鞘	english-on-hold
Item	Ironstone	Ironstone	铁石	english-on-hold
Item	Ironstone Piece	Ironstone Piece	铁石碎片	english-on-hold
Item	Jasmine Tea	Jasmine Tea	茉莉花茶	english-on-hold
Item	Jellyfish Robot	Stormjelly Card	风暴水母卡片	english-on-hold
Item	Killer Whale	Killer Whale	虎鲸	english-on-hold
Item	Kumgang Fat Minnow	Kumgang Fat Minnow	粗壮米诺鱼	english-on-hold
Item	Kumgang Fat Minnow	Stout Minnow	粗壮米诺鱼	english-on-hold
Item	Largemouth Bass	Largemouth Bass	大口黑鲈	english-on-hold
Item	Larva	Larva	幼虫	english-on-hold
Item	Leaf	Leaf	叶片	english-on-hold
Item	Leather	Leather	皮革	english-on-hold
Item	Leatherjacket	Leatherjacket	革鲀	english-on-hold
Item	Leopoldi	Leopoldi	莱奥波尔迪	english-on-hold
Item	Limited Cd	Limited Cd	限量光盘	english-on-hold
Item	Limited Cd	Limited Compact Disc	限量光盘	english-on-hold
Item	Lionfish	Lionfish	狮子鱼	english-on-hold
Item	Longhorn Cowfish	Longhorn Cowfish	长角牛鱼	english-on-hold
Item	Love Heart	Cupid Card	丘比特卡片	english-on-hold
Item	Lunaris Chunk	Lunaris Chunk	露娜里斯块	english-on-hold
Item	Lunaris Crystal	Lunaris Crystal	露娜里斯晶体	english-on-hold
Item	Lunaris Shard	Lunaris Shard	露娜里斯碎片	english-on-hold
Item	Lure Alien Big Blink	Time Device	时间装置	english-on-hold
Item	Lure Angel Mage	Heaven's Tear Earring	天堂之泪耳环	english-on-hold
Item	Lure Bat Lord	Overripe Grape Cluster	熟透的葡萄串	english-on-hold
Item	Lure Cactus Boss	Oozing Pulp Chunk	渗液果肉块	english-on-hold
Item	Lure Cat Bolt	Curved Fishbone	弯曲鱼骨	english-on-hold
Item	Lure Death Mage	Black Mirror Shard	黑镜碎片	english-on-hold
Item	Lure Eyeball Monster	Abyssal Idol	深渊偶像	english-on-hold
Item	Lure Goblin Giant Gold	Glinting Goblin Fang	闪光的哥布林獠牙	english-on-hold
Item	Lure Goblin Warchief	Tribal Heirloom	部落传家宝	english-on-hold
Item	Lure Hare	Gnawed Acorn	啃过的橡子	english-on-hold
Item	Lure Hermit King	Calcified Shell Core	钙化甲壳核心	english-on-hold
Item	Lure Ice Mage	Frozen Heart Crystal	冰心晶石	english-on-hold
Item	Lure Imp Devil	Blank Pact Scroll	空白契约卷轴	english-on-hold
Item	Lure Mega Ice Golem	Frozen Core Shard	冰封核心碎片	english-on-hold
Item	Lure Queen Worm	Royal Jelly Clot	蜂王浆凝块	english-on-hold
Item	Lure Scorpion King	Soldier Termite	白蚁士兵	english-on-hold
Item	Lure Snake Naga	Fresh Kill Slab	鲜肉	english-on-hold
Item	Lure Snake Naga	Fresh Meat	鲜肉	english-on-hold
Item	Lure Spider Queen Robot	Spider Web Coil	蜘蛛网线圈	english-on-hold
Item	Lure Sting	Buzzing Hive Fragment	嗡鸣蜂巢碎片	english-on-hold
Item	Lure Sunflora Pixie	Sunborn Petal Tuft	日生花瓣簇	english-on-hold
Item	Lure Turtle King	Tactical Power Node	战术能量节点	english-on-hold
Item	Lure Werewolf	Fragment of the Pale Moon	苍白之月的碎片	english-on-hold
Item	Lure Worm Creep	Worm-Eaten Sediment	虫蚀沉积物	english-on-hold
Item	Lure Zombie Goblin King	Lost Shoe	遗失的鞋	english-on-hold
Item	Lurker	Lurker Card	潜伏者卡片	english-on-hold
Item	Mackerel	Mackerel	鲭鱼	english-on-hold
Item	Mahi Mahi	Mahi Mahi	鲯鳅	english-on-hold
Item	Malachite	Malachite	孔雀石	english-on-hold
Item	Malachite Piece	Malachite Piece	孔雀石片	english-on-hold
Item	Mandarin	Mandarin	柑橘	english-on-hold
Item	Mangrove	Mangrove	红树	english-on-hold
Item	Mangrove Piece	Mangrove Piece	红树木片	english-on-hold
Item	Maple Tree	Maple Tree	枫树	english-on-hold
Item	Marble	Marble	大理石	english-on-hold
Item	Marble Piece	Marble Piece	大理石块	english-on-hold
Item	Material Box	Material Box	材料盒	english-on-hold
Item	Meat	Meat	肉	english-on-hold
Item	Mega Ice Golem	Ice Titan Card	冰泰坦卡片	english-on-hold
Item	Memory Card	Memory Card	存储卡	english-on-hold
Item	Memory Fragment	Memory Fragment	记忆碎片	english-on-hold
Item	Metal Robot	Metal Robot Card	金属机器人卡片	english-on-hold
Item	Mimic Barrel	Barrel Mimic Card	木桶拟态怪卡片	english-on-hold
Item	Mimic Book	Book Mimic Card	书本拟态怪卡片	english-on-hold
Item	Mimic Candle	Candle Mimic Card	蜡烛拟态怪卡片	english-on-hold
Item	Mimic Living Trap	Trap Mimic Card	陷阱拟态怪卡片	english-on-hold
Item	Mimic Sword	Sword Mimic Card	剑之拟态怪卡片	english-on-hold
Item	Mimic Treasure Chest	Chest Mimic Card	宝箱拟态怪卡片	english-on-hold
Item	Mini Ice Bear A	Ice Baby Card	寒冰幼体卡片	english-on-hold
Item	Mini Ice Bear B	Festive Baby Card	节日宝贝卡片	english-on-hold
Item	Mini Ice Cube A	Ice Cube Card	冰块卡片	english-on-hold
Item	Mini Ice Cube B	Shadow Cube Card	暗影方块卡片	english-on-hold
Item	Mola Mola	Mola Mola	翻车鱼	english-on-hold
Item	Mole Rat	Mole Card	鼹鼠卡片	english-on-hold
Item	Mole Rat King	Dire Mole Card	凶暴鼹鼠卡片	english-on-hold
Item	Monster Bat	Nightwing Card	夜翼卡片	english-on-hold
Item	Monster Bat King	Nightlord Card	夜王卡片	english-on-hold
Item	Moonrock	Moonrock	月岩	english-on-hold
Item	Moonstone	Moonstone	月光石	english-on-hold
Item	Moonstone Piece	Moonstone Piece	月光石碎片	english-on-hold
Item	Moray Eel	Moray Eel	海鳗	english-on-hold
Item	Mosquito Bug	Gnat Card	小飞虫卡片	english-on-hold
Item	Mosquito Pester	Mosquito Card	蚊子卡片	english-on-hold
Item	Mosquito Stinger	Bloodsucker Card	吸血虫卡片	english-on-hold
Item	Moth Celestial	Celestial Moth Card	星界飞蛾卡片	english-on-hold
Item	Moth Luna	Luna Moth Card	月神蛾卡片	english-on-hold
Item	Moth Moon	Moon Moth Card	月蛾卡片	english-on-hold
Item	Mushroom	Mushroom	蘑菇	english-on-hold
